id,name,level,actionGroupId,vibrate,hurtEffect,lifetime,movePathType,trackingType,bornOffset,bornLocationType,speed,hitTestMode,triggerHitTestOffset,triggerHitTestRange,hitTestOffset,hitTestRange,disappearMode,hitSpace,isHitTarget,targetNum,TargetKillStateId,TargetState,DefenderOffPos,BringState,hurtMoveTime,hurtActionTime,hitDelay,hitStop,damageDelay,attackRate,upgradeFactor,attackRule,soundHurt,bringShootIdsBoom,bringShootIdsEnd,soundSkill,soundSkillDelay,hurtBuffId,learnId
STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,ARRAY,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
5057,崩将军用震地3,1,5057,0|0,8,700,1,1,-380|50|-600,0,0|0|0,0,,,0|-120|0,300|120|340|0,2,80,1,1,-1,-1,400|0|120;400|0|120;400|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5058,崩将军用震地4,1,5058,0|0,8,700,1,1,-260|-20|-600,0,0|0|0,0,,,0|-120|0,300|120|340|0,2,80,1,1,-1,-1,400|0|120;400|0|120;400|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5059,闪电,0,5059,1|1750,10,260,1,1,-140|30|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,,,,,
5060,环形闪电1,0,5060,0|0,10,100,1,1,280|0|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5061,环形闪电2,0,5061,0|0,10,100,1,1,220|70|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5062,环形闪电3,0,5062,0|0,10,100,1,1,80|100|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5063,环形闪电4,0,5063,0|0,10,100,1,1,-60|70|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5064,环形闪电5,0,5064,0|0,10,100,1,1,-120|0|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5065,环形闪电6,0,5065,0|0,10,100,1,1,-60|-70|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5066,环形闪电7,0,5066,0|0,10,100,1,1,80|-100|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5067,环形闪电8,0,5067,0|0,10,100,1,1,220|-70|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5059,,,,
5068,环形闪电发射器,0,5068,0|0,10,100,1,1,0|0|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5060|5061|5062|5063|5064|5065|5066|5067,,,,
5069,环形闪电发射器,0,5069,0|0,10,100,1,1,0|0|0,0,0|0|0,1,,,0|0|0,120|60|500|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5060|5061|5062|5063|5064|5065|5066|5067,,,,
5070,2方向旋风1,1,5070,0|0,4,2000,1,1,0|0|-120,0,0.18|0.1|0,1,,,0|0|0,180|60|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,1,0,1,sounds_typhoon,,,,,,
5071,2方向旋风2,1,5071,0|0,4,2000,1,1,0|0|-120,0,0.18|-0.1|0,1,,,0|0|0,180|60|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,1,0,1,sounds_typhoon,,,,,,
5072,闪电球直线(准备),1,5073,0|0,4,800,3,1,-40|40|0,0,0|0|0,1,,,0|0|0,240|80|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5073,闪电球直线(发射),1,5074,0|0,4,3000,3,1,-40|0|0,0,0.3|0|0,1,,,0|-40|0,240|80|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5074,闪电球直线(准备),1,5073,0|0,4,800,3,1,-40|40|0,0,0|0|0,1,,,0|0|0,240|80|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5075,闪电球(发射)上,1,5075,0|0,4,700,1,1,-40|0|0,0,0.4|0.2|0,1,,,0|-40|0,240|80|240|0,2,200,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5076,闪电球(发射)下,1,5075,0|0,4,700,1,1,-40|0|0,0,0.4|-0.2|0,1,,,0|-40|0,240|80|240|0,2,200,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5077,闪电球(发射)中,1,5075,0|0,4,700,1,1,-40|0|0,0,0.6|0|0,1,,,0|-40|-110,240|80|240|0,2,200,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5078,闪电球(空中手中,1,5072,0|0,4,700,1,1,-40|0|0,0,0.0|0|0,1,,,0|-40|-110,320|80|240|0,2,300,1,6,-1,-1,180|0|80;180|0|80;180|0|180,10|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5079,闪电球(上升,1,5076,0|0,4,400,1,1,-40|0|0,0,0.12|0|-0.25,1,,,0|-40|-200,320|80|240|0,2,200,1,6,-1,-1,10|0|80;12|0|80;10|0|80,10|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5080,闪电球(空中向下,1,5075,0|0,4,1500,1,1,-40|0|0,0,0.8|0|0.2,1,,,-160|-40|-110,320|80|240|0,2,200,1,6,-1,-1,200|0|0;200|0|50;200|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5081,翼龙波(手中,1,206,0|0,10,1400,1,1,-50|40|0,0,0.5|0|0,1,,,0|0|0,360|80|120|0,2,200,1,6,-1,-1,10|0|100;10|0|80;10|0|80,10|10|10,0|50,700,0,110,0,1,0,1,sound_hurt,,,,,,
5082,闪电球(发射)高速,1,5077,0|0,4,3000,3,1,-40|0|0,0,0.3|0|0,1,,,0|-40|0,240|80|240|0,2,400,1,11,-1,-1,10|0|0;12|0|50;10|0|50,7|10|10,0|50,700,0,110,0,0.5,0,1,sounds_electric,,,,,,
5090,大地冰刺,0,5090,0|0,10,480,1,1,0|0|0,0,0|0|0,1,,,-120|-30|0,240|60|80|0,1,200,1,1,-1,-1,40|0|0;30|0|5;30|0|5,7|10|7,0|50,700,0,110,0,1,0,1,sounds_cut1,,,,,,
5091,气功波,0,5091,0|0,9,1200,1,1,0|0|0,0,0.346|0|0,1,,,-50|-30|0,150|60|120|0,1,50,1,1,-1,-1,40|0|0;40|0|5;40|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_fire1,,,,,,
5092,圆点闪电,0,5092,0|0,10,360,1,1,0|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5093,地火柱,0,5093,0|0,9,720,1,1,0|0|0,0,0|0|0,1,,,-120|-40|0,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5094,金色剑气,0,5094,0|0,5,1500,1,1,0|0|0,0,0.4|0|0,1,,,-40|-40|0,240|80|150|0,2,330,1,2,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_cut2,,,,,,
5095,金色钻头,0,5095,0|0,5,1500,1,1,0|0|0,0,0.4|0|0,1,,,-40|-40|0,240|80|150|0,2,330,1,2,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_cut2,,,,,,
5100,圆点闪电1直线,0,5100,0|0,10,400,1,1,150|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5101,圆点闪电2直线,0,5101,0|0,10,400,1,1,300|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5102,圆点闪电3直线,0,5102,0|0,10,400,1,1,450|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5103,圆点闪电4直线,0,5103,0|0,10,400,1,1,600|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5104,圆点闪电5直线,0,5104,0|0,10,400,1,1,750|0|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5105,圆点闪电发射器1,0,5060,0|0,10,500,1,1,0|0|0,1,0|0|0,1,,,0|0|0,0|0|0|0,2,50,1,1,-1,-1,20|0|0;20|0|5;20|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_electric,,5106,,,,
5106,圆点随机闪电1,0,5100,0|0,10,400,1,1,181|-5|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5107,圆点随机闪电2,0,5101,0|0,10,400,1,1,-93|49|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5108,圆点随机闪电3,0,5102,0|0,10,400,1,1,286|-44|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5109,圆点随机闪电4,0,5103,0|0,10,400,1,1,-176|-14|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5110,圆点随机闪电5,0,5104,0|0,10,400,1,1,-57|-27|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5111,圆点随机闪电6,0,5100,0|0,10,400,1,1,9|7|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5112,圆点随机闪电7,0,5101,0|0,10,400,1,1,198|27|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5113,圆点随机闪电8,0,5102,0|0,10,400,1,1,-59|42|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5114,圆点随机闪电9,0,5103,0|0,10,400,1,1,99|-16|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5115,圆点随机闪电10,0,5104,0|0,10,400,1,1,-212|15|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5116,圆点随机闪电11,0,5100,0|0,10,400,1,1,175|-21|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5117,圆点随机闪电12,0,5101,0|0,10,400,1,1,-57|-44|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5118,圆点随机闪电13,0,5102,0|0,10,400,1,1,7|-35|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5119,圆点随机闪电14,0,5103,0|0,10,400,1,1,267|-39|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5120,圆点随机闪电15,0,5104,0|0,10,400,1,1,-9|16|-120,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5121,圆点闪电牢笼1,0,5105,0|0,10,1500,1,1,200|0|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5122,圆点闪电牢笼2,0,5106,0|0,10,1500,1,1,90|70|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5123,圆点闪电牢笼3,0,5107,0|0,10,1500,1,1,-50|100|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5124,圆点闪电牢笼4,0,5108,0|0,10,1500,1,1,-190|70|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5125,圆点闪电牢笼5,0,5109,0|0,10,1500,1,1,-250|0|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5126,圆点闪电牢笼6,0,5110,0|0,10,1500,1,1,-190|-70|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5127,圆点闪电牢笼7,0,5111,0|0,10,1500,1,1,-50|-100|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5128,圆点闪电牢笼8,0,5112,0|0,10,1500,1,1,90|-70|0,1,0|0|0,1,,,0|-30|0,160|60|300|0,2,100,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5130,圆点闪电1直线下,0,5100,0|0,10,400,1,1,150|40|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5131,圆点闪电2直线下,0,5101,0|0,10,400,1,1,250|70|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5132,圆点闪电3直线下,0,5102,0|0,10,400,1,1,350|100|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5133,圆点闪电4直线下,0,5103,0|0,10,400,1,1,450|130|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5134,圆点闪电5直线下,0,5104,0|0,10,400,1,1,550|150|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5135,圆点闪电1直线上,0,5100,0|0,10,400,1,1,150|-40|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5136,圆点闪电2直线上,0,5101,0|0,10,400,1,1,250|-70|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5137,圆点闪电3直线上,0,5102,0|0,10,400,1,1,350|-100|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5138,圆点闪电4直线上,0,5103,0|0,10,400,1,1,450|-130|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5139,圆点闪电5直线上,0,5104,0|0,10,400,1,1,550|-150|0,0,0|0|0,1,,,-120|-40|0,240|80|300|0,2,100,1,3,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_electric,,,,,,
5150,金色剑气1,0,5094,0|0,5,2000,1,1,0|0|0,0,0.8|-0.18|0,1,,,-40|-40|0,240|80|150|0,2,100,1,2,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_cut2,,,,,,
5151,金色剑气2,0,5094,0|0,5,2000,1,1,0|0|0,0,1.0|0|0,1,,,-40|-40|0,240|80|150|0,2,100,1,2,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_cut2,,,,,,
5152,金色剑气3,0,5094,0|0,5,2000,1,1,0|0|0,0,0.8|0.18|0,1,,,-40|-40|0,240|80|150|0,2,100,1,2,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_cut2,,,,,,
5153,地火柱1,0,5153,0|0,9,720,1,1,100|0|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5154,地火柱2,0,5153,0|0,9,720,1,1,-100|0|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5155,地火柱3,0,5153,0|0,9,720,1,1,0|50|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5156,地火柱4,0,5153,0|0,9,720,1,1,0|-50|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5157,地火柱5,0,5154,0|0,9,720,1,1,200|0|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5158,地火柱6,0,5154,0|0,9,720,1,1,-200|0|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5159,地火柱7,0,5154,0|0,9,720,1,1,0|90|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
5160,地火柱8,0,5154,0|0,9,720,1,1,0|-90|-410,0,0|0|0,1,,,-120|-40|-20,240|80|200|0,2,200,1,1,-1,-1,10|0|30;10|0|20;10|0|30,10|10|10,0|50,700,0,60,0,0.5,0,1,sounds_fire1,,,,,,
